rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
361,Christo Van Rensburg,South Africa,RSA,false,1962-10-23,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,166-160,2017,1989-07-10,50.9%
361,Filippo Volandri,Italy,ITA,false,1981-09-05,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,178-224,1986,2007-06-11,44.3%
361,Frew Mcmillan,South Africa,RSA,false,1942-05-20,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,177-240,1932,1978-07-10,42.4%
361,Geoff Masters,Australia,AUS,false,1950-09-19,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,233-253,1997,1975-10-26,47.9%
361,Han Jurgen Pohmann,Germany,GER,false,1947-05-23,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,122-123,1943,1976-10-11,49.8%
361,Jannik Sinner,Italy,ITA,true,2001-08-16,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31-22,2021,2021-02-08,58.5%
361,Jerome Golmard,France,FRA,false,1973-09-09,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,144-143,2039,1999-04-26,50.2%
361,Jim Grabb,United States,USA,false,1964-04-14,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,179-199,1958,1992-11-09,47.4%
361,Laslo Djere,Serbia,SRB,true,1995-06-02,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54-60,1913,2019-06-10,47.4%
361,Marc Kevin Goellner,Germany,GER,false,1970-09-22,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,160-194,2014,1993-10-01,45.2%
361,Mike Belkin,Canada,CAN,false,1945-06-29,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,75-53,1936,1971-07-31,58.6%
361,Omar Camporese,Italy,ITA,false,1968-05-08,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,150-157,2075,1992-02-24,48.9%
361,Pavel Slozil,Czech Republic,CZE,false,1955-12-29,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,146-162,1930,1981-03-23,47.4%
361,Robert Vant Hof,United States,USA,false,1959-04-10,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,83-105,1984,1983-08-22,44.1%
361,Robin Haase,Netherlands,NED,true,1987-04-06,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,229-270,1946,2011-09-12,45.9%
361,Sammy Giammalva Jr,United States,USA,false,1963-03-24,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,161-164,1966,1985-04-01,49.5%
361,Shlomo Glickstein,Israel,ISR,false,1958-01-06,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,189-160,1995,1981-11-30,54.2%
361,Steve Darcis,Belgium,BEL,false,1984-03-13,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,118-134,1950,2012-09-21,46.8%
361,Ulrich Pinner,Germany,GER,false,1954-02-07,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,151-130,2031,1979-07-23,53.7%
361,Vladimir Zednik,Czech Republic,CZE,false,1947-02-01,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,113-151,1907,1978-07-02,42.8%
361,Andreas Vinciguerra,Sweden,SWE,false,1981-02-19,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87-103,1984,2001-02-26,45.8%
361,Antonio Zugarelli,Italy,ITA,false,1950-01-17,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115-155,1940,1977-07-10,42.6%
361,Bob Carmichael,Australia,AUS,false,1940-07-04,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,211-255,2002,1971-03-21,45.3%
361,Carlos Kirmayr,Brazil,BRA,false,1950-09-23,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,152-171,2010,1981-10-26,47.1%
361,Dusan Lajovic,Serbia,SRB,true,1990-06-30,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,138-171,1962,2019-04-22,44.7%
361,Galo Blanco,Spain,ESP,false,1976-10-08,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122-175,1929,2001-07-30,41.1%
361,Gilbert Schaller,Austria,AUT,false,1969-03-17,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,115-132,1982,1995-10-09,46.6%
361,Guido Pella,Argentina,ARG,true,1990-05-17,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,112-122,2009,2019-08-12,47.9%
361,Ismail El Shafei,Egypt,EGY,false,1947-11-15,3,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,244-294,2013,1974-07-08,45.4%
361,Jeremy Chardy,France,FRA,true,1987-02-12,3,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,286-289,2016,2015-09-14,49.7%
361,John Cooper,Australia,AUS,false,1946-11-04,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73-74,1916,1972-09-13,49.7%
361,John Millman,Australia,AUS,true,1989-06-14,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88-107,1954,2018-09-10,45.1%
361,Mikael Tillstrom,Sweden,SWE,false,1972-03-05,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,112-113,1985,1997-04-14,49.8%
361,Tennys Sandgren,United States,USA,true,1991-07-22,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40-58,1940,2020-08-31,40.8%
361,Ben Testerman,United States,USA,false,1962-02-02,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87-102,1947,1984-12-17,46.0%
361,Christian Bergstrom,Sweden,SWE,false,1967-07-19,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161-162,2018,1993-02-01,49.8%
361,Felix Auger Aliassime,Canada,CAN,true,2000-08-08,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69-55,1995,2020-09-14,55.6%
361,Michiel Schapers,Netherlands,NED,false,1959-10-11,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166-187,1970,1988-02-29,47.0%
361,Vasek Pospisil,Canada,CAN,true,1990-06-23,3,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121-153,1987,2020-11-16,44.2%
413,Andrei Olhovskiy,Russian Federation,RUS,false,1966-04-15,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,117-165,1921,1993-03-08,41.5%
413,Andrew Ilie,Australia,AUS,false,1976-04-18,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,89-116,1926,2000-06-12,43.4%
413,Angel Gimenez,Spain,ESP,false,1955-10-10,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,86-108,1912,1981-05-25,44.3%
413,Bernard Mitton,South Africa,RSA,false,1954-11-09,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,206-226,1962,1977-03-28,47.7%
413,Bryan Shelton,United States,USA,false,1965-12-22,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,104-137,1913,1992-07-13,43.2%
413,Carlos Berlocq,Argentina,ARG,false,1983-02-03,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,134-193,1966,2014-06-09,41.0%
413,Christian Kuhnke,Germany,GER,false,1939-04-13,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,63-33,1977,1971-05-31,65.6%
413,Christian Saceanu,Germany,GER,false,1968-07-08,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,71-110,1887,1988-06-20,39.2%
413,David Sanchez,Spain,ESP,false,1978-04-20,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,86-118,1908,2004-05-24,42.2%
413,Denis Istomin,Uzbekistan,UZB,false,1986-09-07,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,229-261,1987,2014-07-07,46.7%
413,Erik Van Dillen,United States,USA,false,1951-02-21,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,178-233,1976,1973-08-27,43.3%
413,Florent Serra,France,FRA,false,1981-02-28,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,123-170,1942,2010-06-07,42.0%
413,Francesco Cancellotti,Italy,ITA,false,1963-02-27,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,114-118,1976,1984-09-24,49.1%
413,Haroon Rahim,Pakistan,PAK,false,1949-11-12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,142-170,1974,1976-03-08,45.5%
413,Hubert Hurkacz,Poland,POL,true,1997-02-11,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54-55,1983,2020-01-20,49.5%
413,Jaime Oncins,Brazil,BRA,false,1970-06-16,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76-95,1967,1992-11-16,44.4%
413,Jan Kroslak,Slovakia,SVK,false,1974-10-17,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76-96,1934,1997-03-24,44.2%
413,Jeff Tarango,United States,USA,false,1968-11-20,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,239-294,1954,1998-03-27,44.8%
413,Jiri Vesely,Czech Republic,CZE,true,1993-07-10,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,127-141,1952,2017-06-12,47.4%
413,Jonathan Stark,United States,USA,false,1971-04-03,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,136-151,1974,1994-03-07,47.4%
413,Julian Alonso,Spain,ESP,false,1977-08-02,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52-64,1903,1997-11-10,44.8%
413,Kelly Jones,United States,USA,false,1964-03-31,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48-84,1836,1990-05-07,36.4%
413,Luis Horna,Peru,PER,false,1980-09-14,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,141-146,1958,2004-10-25,49.1%
413,Lukas Rosol,Czech Republic,CZE,false,1985-07-24,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,123-158,1982,2014-08-24,43.8%
413,Marian Vajda,Slovakia,SVK,false,1965-03-24,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,119-152,1944,1987-08-17,43.9%
413,Martin Sinner,Germany,GER,false,1968-02-07,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50-78,1863,1995-05-08,39.1%
413,Mike Estep,United States,USA,false,1949-07-19,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,112-178,1887,1976-06-21,38.6%
413,Milan Holecek,Czech Republic,CZE,false,1943-10-23,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,114-157,1858,1974-04-06,42.1%
413,Nicolas Pereira,"Venezuela, Bolivarian Republic of",VEN,false,1970-09-29,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,84-130,1868,1996-01-08,39.3%
413,Olivier Rochus,Belgium,BEL,false,1981-01-18,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,238-276,2035,2006-05-08,46.3%
413,Patrick Baur,Germany,GER,false,1965-05-03,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,67-107,1892,1991-04-22,38.5%
413,Rajeev Ram,United States,USA,false,1984-03-18,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,57-93,1849,2016-04-04,38.0%
413,Reilly Opelka,United States,USA,true,1997-08-28,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49-49,1976,2020-08-31,50.0%
413,Sherwood Stewart,United States,USA,false,1946-06-06,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,168-234,1907,1975-08-25,41.8%
413,Simon Youl,Australia,AUS,false,1965-07-01,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,93-139,1891,1990-01-29,40.1%
413,Stefano Pescosolido,Italy,ITA,false,1971-06-13,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,109-159,1940,1994-01-10,40.7%
413,Terry Moor,United States,USA,false,1952-04-23,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,239-228,2035,1981-03-02,51.2%
413,Tomas Carbonell,Spain,ESP,false,1968-08-07,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,194-223,1947,1996-04-15,46.5%
413,Tom Edlefsen,United States,USA,false,1941-12-12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,95-136,1889,1972-09-25,41.1%
413,Ugo Humbert,France,FRA,true,1998-06-26,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44-40,2002,2020-11-09,52.4%
413,Yahiya Doumbia,Senegal,SEN,false,1963-08-25,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43-38,1864,1988-08-22,53.1%
413,Adrian Mannarino,France,FRA,true,1988-06-29,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,207-241,2004,2018-01-29,46.2%
413,Adrian Voinea,Romania,ROU,false,1974-08-06,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,136-176,1935,2002-05-20,43.6%
413,Alex Obrien,United States,USA,false,1970-03-07,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93-136,1963,1997-01-13,40.6%
413,Andreas Maurer,Germany,GER,false,1958-03-08,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115-142,1960,1985-07-15,44.7%
413,Andrey Golubev,Kazakhstan,KAZ,false,1987-07-22,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67-117,1930,2010-10-04,36.4%
413,Arnaud Di Pasquale,France,FRA,false,1979-02-11,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69-98,1932,1999-10-11,41.3%
413,Billy Martin,United States,USA,false,1956-12-25,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145-175,1957,1977-08-30,45.3%
413,Casper Ruud,Norway,NOR,true,1998-12-22,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61-52,1995,2020-10-12,54.0%
413,Diego Perez,Uruguay,URU,false,1962-02-09,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225-236,1963,1984-05-20,48.8%
413,Frances Tiafoe,United States,USA,true,1998-01-20,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70-93,1962,2019-01-28,42.9%
413,Horacio Zeballos,Argentina,ARG,true,1985-04-27,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91-133,1927,2017-06-12,40.6%
413,Istvan Gulyas,Hungary,HUN,false,1931-10-14,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62-60,1983,1968-07-29,50.8%
413,Jonathan Canter,United States,USA,false,1965-06-04,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68-96,1935,1986-09-22,41.5%
413,Larry Stefanki,United States,USA,false,1957-07-23,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-87,1895,1985-02-25,37.4%
413,Leander Paes,India,IND,false,1973-06-17,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101-97,1927,1998-08-24,51.0%
413,Lorenzo Sonego,Italy,ITA,true,1995-05-11,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40-48,1913,2020-11-09,45.5%
413,Marton Fucsovics,Hungary,HUN,true,1992-02-08,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90-84,1985,2021-03-08,51.7%
413,Milan Srejber,Czech Republic,CZE,false,1963-12-30,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128-129,1969,1988-08-29,49.8%
413,Mischa Zverev,Germany,GER,true,1987-08-22,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133-198,1968,2017-01-30,40.2%
413,Ove Nils Bengtson,Sweden,SWE,false,1945-04-05,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132-180,1885,1974-04-07,42.3%
413,Pablo Arraya,Peru,PER,false,1961-10-21,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,179-180,1961,1983-11-28,49.9%
413,Philipp Petzschner,Germany,GER,false,1984-03-24,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88-107,1976,2011-07-15,45.1%
413,Scott Draper,Australia,AUS,false,1974-06-05,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107-129,1996,1999-01-11,45.3%
413,Sergio Casal,Spain,ESP,false,1962-09-08,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125-148,1971,1987-03-20,45.8%
413,Shuzo Matsuoka,Japan,JPN,false,1967-11-06,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148-164,1966,1992-06-15,47.4%
413,Taylor Harry Fritz,United States,USA,true,1997-10-28,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98-100,1999,2019-08-05,49.5%
413,Thomas Hogstedt,Sweden,SWE,false,1963-09-21,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89-152,1897,1984-04-16,36.9%
413,Ulf Stenlund,Sweden,SWE,false,1967-01-21,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-44,2003,1987-04-27,54.2%
413,Victor Hanescu,Romania,ROU,false,1981-07-21,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,201-244,1958,2010-06-07,45.2%
413,Vincent Van Patten,United States,USA,false,1957-10-17,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109-117,1984,1981-11-02,48.2%
413,Wesley Moodie,South Africa,RSA,false,1979-02-14,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58-70,1920,2005-10-10,45.3%
413,Wilhelm Bungert,Germany,GER,false,1939-04-01,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65-33,2052,1968-07-26,66.3%
413,Alexander Popp,Germany,GER,false,1976-11-04,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45-65,1883,2003-07-07,40.9%
413,Allan Stone,Australia,AUS,false,1945-10-14,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225-237,1992,1975-10-12,48.7%
413,Aslan Karatsev,Russian Federation,RUS,true,1993-09-04,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-11,1873,2021-02-22,42.1%
413,Bart Wuyts,Belgium,BEL,false,1969-09-15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48-69,1870,1992-08-03,41.0%
413,Christophe Rochus,Belgium,BEL,false,1978-12-15,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118-219,1861,2005-05-23,35.0%
413,Christophe Roger Vasselin,France,FRA,false,1957-07-08,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91-130,1899,1983-06-06,41.2%
413,Cristiano Caratti,Italy,ITA,false,1970-05-24,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72-117,1957,1991-05-20,38.1%
413,Filip Krajinovic,Serbia,SRB,true,1992-02-27,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84-80,2033,2020-09-21,51.2%
413,Francisco Gonzalez,Paraguay,PAR,false,1955-11-19,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112-174,1912,1983-03-11,39.2%
413,Francisco Maciel,Mexico,MEX,false,1964-07-01,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-57,1898,1986-08-18,46.7%
413,Harel Levy,Israel,ISR,false,1978-08-05,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63-99,1913,2001-06-25,38.9%
413,Henrik Holm,Sweden,SWE,false,1968-08-22,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96-110,1993,1992-11-02,46.6%
413,Hyeon Chung,"Korea, Republic of",KOR,true,1996-05-19,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79-69,2049,2018-05-07,53.4%
